;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
1477096;1;3;5;6;7;10;12;13;14;16;18;20;21;23;25
1477109;1;3;5;6;7;10;12;13;14;16;19;20;21;22;25
1477110;1;3;5;6;7;10;12;13;14;16;19;20;21;23;24
1477114;1;3;5;6;7;10;12;13;14;16;19;20;22;23;25
1477116;1;3;5;6;7;10;12;13;14;16;19;20;23;24;25
1477123;1;3;5;6;7;10;12;13;14;16;20;21;22;23;25
1477125;1;3;5;6;7;10;12;13;14;16;20;21;23;24;25
1481210;1;3;5;6;7;12;13;16;17;18;19;20;22;23;24
1481219;1;3;5;6;7;12;13;16;17;18;20;21;22;23;24
1481221;1;3;5;6;7;12;13;16;17;18;20;21;22;24;25
1481223;1;3;5;6;7;12;13;16;17;18;20;22;23;24;25
1481372;1;3;5;6;7;12;14;16;17;18;19;20;21;23;24
1481376;1;3;5;6;7;12;14;16;17;18;19;20;22;23;25
1481378;1;3;5;6;7;12;14;16;17;18;19;20;23;24;25
1481385;1;3;5;6;7;12;14;16;17;18;20;21;22;23;25
1481387;1;3;5;6;7;12;14;16;17;18;20;21;23;24;25
1599105;1;3;6;8;9;10;12;13;14;16;17;20;21;23;25
1603251;1;3;6;8;9;12;13;16;17;18;19;20;21;23;24
1603255;1;3;6;8;9;12;13;16;17;18;19;20;22;23;25
1603257;1;3;6;8;9;12;13;16;17;18;19;20;23;24;25
1603264;1;3;6;8;9;12;13;16;17;18;20;21;22;23;25
1603266;1;3;6;8;9;12;13;16;17;18;20;21;23;24;25
1603675;1;3;6;8;9;13;14;17;18;20;21;22;23;24;25
1651752;1;4;5;6;7;8;9;12;13;14;17;20;22;23;25
1651763;1;4;5;6;7;8;9;12;13;14;18;19;20;21;25
1651784;1;4;5;6;7;8;9;12;13;14;18;20;21;23;25
1651797;1;4;5;6;7;8;9;12;13;14;19;20;21;22;25
1651798;1;4;5;6;7;8;9;12;13;14;19;20;21;23;24
1651802;1;4;5;6;7;8;9;12;13;14;19;20;22;23;25
1651804;1;4;5;6;7;8;9;12;13;14;19;20;23;24;25
1651811;1;4;5;6;7;8;9;12;13;14;20;21;22;23;25
1651813;1;4;5;6;7;8;9;12;13;14;20;21;23;24;25
1652734;1;4;5;6;7;8;9;12;14;19;20;21;22;23;25
1652736;1;4;5;6;7;8;9;12;14;19;20;21;23;24;25
1664106;1;4;5;6;7;8;12;13;14;16;17;20;21;23;25
1676790;1;4;5;6;7;9;13;14;16;18;19;20;21;22;25
1676791;1;4;5;6;7;9;13;14;16;18;19;20;21;23;24
1676795;1;4;5;6;7;9;13;14;16;18;19;20;22;23;25
1676797;1;4;5;6;7;9;13;14;16;18;19;20;23;24;25
1676804;1;4;5;6;7;9;13;14;16;18;20;21;22;23;25
1676806;1;4;5;6;7;9;13;14;16;18;20;21;23;24;25
1680551;1;4;5;6;7;10;12;13;14;16;17;20;21;23;25
1684697;1;4;5;6;7;12;13;16;17;18;19;20;21;23;24
1684701;1;4;5;6;7;12;13;16;17;18;19;20;22;23;25
